nationality,overall_pick
SK,1
SK,2
US,3
CA,4
SE,5
CZ,6
CA,7
AT,8
CA,9
RU,10
CA,11
CA,12
US,13
US,14
SE,15
SE,16
FI,17
CH,18
SE,19
RU,20
CA,21
CA,22
US,23
RU,24
US,25
SK,26
SE,27
CZ,28
CA,29
FI,30
US,31
CA,32
CA,33
US,34
CA,35
RU,36
US,37
CA,38
CA,39
CA,40
FI,41
CA,42
DE,43
CA,44
SE,45
US,46
CA,47
CZ,48
FI,49
CA,50
US,51
RU,52
CA,53
CA,54
SE,55
CA,56
CA,57
FI,58
FI,59
RU,60
CA,61
US,62
SK,63
SE,64
SE,65
US,66
FI,67
CA,68
US,69
RU,70
RU,71
SE,72
FI,73
RU,74
AT,75
US,76
RU,77
US,78
CA,79
SE,80
CA,81
CA,82
CA,83
FI,84
SE,85
CA,86
CZ,87
CA,88
CA,89
US,90
US,91
SE,92
CZ,93
CA,94
CA,95
CA,96
CA,97
CA,98
US,99
CA,100
SE,101
CA,102
US,103
CA,104
SE,105
CA,106
CA,107
CA,108
RU,109
RU,110
US,111
CA,112
CA,113
CA,114
CA,115
CA,116
US,117
RU,118
LV,119
RU,120
US,121
SE,122
CA,123
US,124
SE,125
US,126
CA,127
CA,128
SE,129
CA,130
CA,131
CA,132
US,133
RU,134
RU,135
CA,136
CA,137
RU,138
CA,139
CA,140
CZ,141
CA,142
US,143
CA,144
CA,145
CA,146
RU,147
FI,148
CA,149
DE,150
SE,151
CA,152
US,153
US,154
CA,155
RU,156
LV,157
SE,158
US,159
US,160
RU,161
CA,162
PL,163
US,164
US,165
CA,166
CA,167
SE,168
US,169
US,170
CZ,171
US,172
US,173
CA,174
SE,175
US,176
CA,177
RU,178
US,179
CA,180
CA,181
US,182
CA,183
CA,184
SK,185
CA,186
SE,187
SE,188
US,189
RU,190
US,191
US,192
US,193
FI,194
CA,195
CA,196
FI,197
RU,198
FI,199
CA,200
CA,201
SE,202
US,203
SK,204
RU,205
CA,206
CA,207
RU,208
CA,209
US,210
SE,211
US,212
CA,213
CA,214
CA,215
CA,216
US,217
CA,218
US,219
CH,220
US,221
FI,222
CA,223
LV,224
BY,225
CA,1
US,2
CH,3
US,4
CA,5
SE,6
SE,7
CA,8
CA,9
US,10
US,12
US,13
SE,14
CA,15
CA,16
CA,17
US,18
RU,19
SE,20
SE,21
CA,22
CA,23
US,24
CA,25
CA,26
CA,27
SE,28
US,29
CA,30
CA,31
CA,32
RU,33
CA,34
CA,35
US,36
US,37
RU,38
CA,39
US,40
BY,41
CA,42
RU,43
FI,44
SE,45
FI,46
CA,47
RU,48
CA,49
RU,50
FI,51
FI,52
RU,53
US,54
CA,55
CA,56
US,57
US,58
US,59
CH,60
US,61
CA,62
CA,63
SE,64
CA,65
US,66
CA,67
FI,68
CZ,69
US,70
SE,71
SE,72
CA,73
SE,74
CA,75
CA,76
CA,77
BY,78
CA,79
US,80
CA,81
BY,82
CZ,83
RU,84
CA,85
CA,86
RU,87
RU,88
CA,89
DE,90
GB,91
KZ,92
CA,93
US,94
CA,95
US,96
CA,97
US,98
FI,99
CZ,100
CA,101
CZ,102
CA,103
US,104
CA,105
FI,106
NO,107
SE,108
US,109
CH,110
CA,111
CA,112
CA,113
US,114
US,115
CA,116
SE,117
CA,118
CA,119
RU,120
CA,121
FI,122
CA,123
CA,124
US,125
US,126
CA,127
SK,128
FI,129
CA,130
CA,131
RU,132
CA,133
SE,134
RU,135
CA,136
FI,137
CA,138
US,139
SE,140
CA,141
RU,142
CA,143
CZ,144
CA,145
RU,146
US,147
CA,148
SE,149
CA,150
DE,151
RU,152
US,153
CA,154
CA,155
CA,156
FI,157
US,158
FI,159
CA,160
SE,161
US,162
RU,163
